episode,c,opponent,agent_score,opponent_score,score_diff,win,turns,q_value,epsilon,replay_path
36,0.6,starter_baseline,46.0,27.0,19.0,1,25,27.5,0.2517,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0036/match.replay
37,0.6,aggressive_opponent,45.0,10.0,35.0,1,51,27.857,0.2505,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0037/match.replay
38,0.6,aggressive_opponent,48.0,0.0,48.0,1,25,28.773,0.2492,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0038/match.replay
39,0.6,starter_baseline,45.0,30.0,15.0,1,25,28.174,0.248,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0039/match.replay
40,0.6,defensive_opponent,44.0,0.0,44.0,1,35,28.833,0.2467,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0040/match.replay
41,0.6,aggressive_opponent,56.0,7.0,49.0,1,39,29.64,0.2455,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0041/match.replay
42,0.6,starter_baseline,47.0,28.0,19.0,1,25,29.231,0.2443,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0042/match.replay
43,0.7,aggressive_opponent,9.0,42.0,-33.0,0,47,-11.333,0.243,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0043/match.replay
44,0.6,defensive_opponent,44.0,0.0,44.0,1,35,29.778,0.2418,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0044/match.replay
45,0.6,aggressive_opponent,6.0,40.0,-34.0,0,47,27.5,0.2406,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0045/match.replay
46,0.7,starter_baseline,11.0,41.0,-30.0,0,16,-16.0,0.2394,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0046/match.replay
47,0.6,defensive_opponent,44.0,0.0,44.0,1,35,28.069,0.2382,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0047/match.replay
48,0.6,aggressive_opponent,40.0,12.0,28.0,1,53,28.067,0.237,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0048/match.replay
49,0.6,starter_baseline,51.0,20.0,31.0,1,25,28.161,0.2358,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0049/match.replay
50,0.6,aggressive_opponent,53.0,8.0,45.0,1,37,28.688,0.2347,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0050/match.replay
