c,opponent,run_id,agent_score,opponent_score,score_diff,win,turns,replay_path
0.3,defensive_opponent,2,33.0,4.0,29.0,1,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.30/defensive_opponent/run_2.replay
0.3,defensive_opponent,3,32.0,4.0,28.0,1,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.30/defensive_opponent/run_3.replay
0.3,aggressive_opponent,1,10.0,40.0,-30.0,0,62,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.30/aggressive_opponent/run_1.replay
0.3,aggressive_opponent,2,1.0,41.0,-40.0,0,52,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.30/aggressive_opponent/run_2.replay
0.3,aggressive_opponent,3,1.0,40.0,-39.0,0,54,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.30/aggressive_opponent/run_3.replay
0.4,starter_baseline,1,56.0,12.0,44.0,1,45,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.40/starter_baseline/run_1.replay
0.4,starter_baseline,2,42.0,4.0,38.0,1,43,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.40/starter_baseline/run_2.replay
0.4,starter_baseline,3,43.0,0.0,43.0,1,43,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.40/starter_baseline/run_3.replay
0.4,defensive_opponent,1,42.0,0.0,42.0,1,49,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.40/defensive_opponent/run_1.replay
0.4,defensive_opponent,2,40.0,0.0,40.0,1,49,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.40/defensive_opponent/run_2.replay
0.4,defensive_opponent,3,42.0,0.0,42.0,1,49,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.40/defensive_opponent/run_3.replay
0.4,aggressive_opponent,1,9.0,41.0,-32.0,0,52,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.40/aggressive_opponent/run_1.replay
0.4,aggressive_opponent,2,40.0,0.0,40.0,1,49,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.40/aggressive_opponent/run_2.replay
0.4,aggressive_opponent,3,23.0,44.0,-21.0,0,70,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.40/aggressive_opponent/run_3.replay
0.5,starter_baseline,1,41.0,0.0,41.0,1,33,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.50/starter_baseline/run_1.replay
0.5,starter_baseline,2,48.0,1.0,47.0,1,33,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.50/starter_baseline/run_2.replay
0.5,starter_baseline,3,43.0,0.0,43.0,1,33,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.50/starter_baseline/run_3.replay
0.5,defensive_opponent,1,41.0,0.0,41.0,1,39,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.50/defensive_opponent/run_1.replay
0.5,defensive_opponent,2,41.0,0.0,41.0,1,39,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.50/defensive_opponent/run_2.replay
0.5,defensive_opponent,3,41.0,0.0,41.0,1,39,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.50/defensive_opponent/run_3.replay
0.5,aggressive_opponent,1,11.0,41.0,-30.0,0,64,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.50/aggressive_opponent/run_1.replay
0.5,aggressive_opponent,2,6.0,40.0,-34.0,0,48,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.50/aggressive_opponent/run_2.replay
0.5,aggressive_opponent,3,8.0,40.0,-32.0,0,55,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.50/aggressive_opponent/run_3.replay
0.6,starter_baseline,1,52.0,8.0,44.0,1,25,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.60/starter_baseline/run_1.replay
0.6,starter_baseline,2,40.0,14.0,26.0,1,25,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.60/starter_baseline/run_2.replay
